key,summary
GENSIX-70187,[Settings] Split screen is getting displayed on selecting split screen options in button/touchpad settings.
GENSIX-70185,[OSD/Popup]:Video Manual Popup is getting Displayed On Voice Memo Recording Screen.
GENSIX-70131,[AnalogRadio]Able to scan the channels outside the scanning toggle area in radio screen.
GENSIX-70098,[Keypad]: Able to perform any operation on the popup in search keypad screen.
GENSIX-70093,"[Bluetooth] During BT Active call, making RVC ON OFF screen is exiting"
GENSIX-70090,"[Home]:On focusing the Icons through CCP, able to reorder in the empty space in the home screen"
GENSIX-70045,[Passenger Talk] : Passenger Talk Option is not getting Displayed for JK1 Head Unit
GENSIX-70044,[Setup]: Options are overlapping on rotating the ccp jog in Reorder setup screen.
GENSIX-70043,[Keypad]: Text overlapping is observed on rotating the CCP jog in search keypad screen.
GENSIX-70037,[Radio]: Focus is getting changed after closing the Menu option.
GENSIX-70036,[Voice recognition] Dual focus is observed on exiting the Voice recognition.
GENSIX-70035,"[Voice Memo]:""After performing some basic operations voice memo record is not getting started ."""
GENSIX-70031,"[Setting]:""Cannot input anymore popup is getting closed on pressing custm key."""
GENSIX-70018,[Bluetooth]Overlap is been observed on the Split screen AV card for confrence call text and the number of call added
GENSIX-70017,[Settings] : Continuous Seek Up/Down is Observed on Performing Long Press Up/Down
GENSIX-70013,[Setup] CCP Dial is not working after Reordering the options in Button/Touch Pad settings
GENSIX-70008,[Manual] Dual focus observed in manual screen
GENSIX-70004,[Radio] : Frequency Controller is not Stopping on Performing Long Press Seek S/K
GENSIX-69998,[Settings]:Font size is not getting changed for the selected option in Connected Services setting screen.
GENSIX-69997,"[Navigation]:""Dual fous is getting observed in navigation search keypad."""
GENSIX-69996,[Split screen] Passenter talk Talking info should close after returning back from RVC screen to passenger talk main screen in split screen.
GENSIX-69985,[Setup] Menu icons are getting stuck in Reorder setup menus screen in rear displays.
GENSIX-69980,[Settings]:Flickering is observed in search keypad screen on changing language.
GENSIX-69977,[Settings] Sound tune options are not as per the spec.
GENSIX-69927,[Setup]: Focus is not appearing at the same option after closing the option Menu.
GENSIX-69922,[Radio] Able to enter in delete preset screen from Front and Rear at the Same time
GENSIX-69920,[CCS] The Focus is not accelerating fast to upmost or downmost in the option menu list.
GENSIX-69919,[Seat] The Focus is not accelerating fast to upmost or downmost in the option menu list.
GENSIX-69918,"[OSD] ""Radio/Media off"" OSD is not displayed on performing PWR OFF while voice memo is in recording state."
GENSIX-69916,[Keypad]Focus is shifting upon performing RVC on and off
GENSIX-69915,[Keypad]: Close Keypad Button is Not displayed in navigation Keypad Screen.
GENSIX-69912,[USM] Focus is not retained on selected Option in Vehicle settings Screen.
GENSIX-69910,[Keypad] Inconsistant behaviour is observed in Keypad screen
GENSIX-69908,[Navi] The Focus position is not fixed in downmost after moving down quickly in the Option menu list.
GENSIX-69907,[Media Gate] Text overflow is observed in QQ Music and TingBan screens
GENSIX-69906,[Radio] Focus is not shifting to the last saved preset
GENSIX-69904,[Setup] Alert popup observed in CCS settings list screen
GENSIX-69903,"[Bluetooth]:""Able to enter in device connection setting during BT Active call after performing battery off/on."""
GENSIX-69902,[Keypad]: Able to click the empty input on the navigation search keypad screen.
GENSIX-69900,[Bluetooth]:Blank screen is observed in Bluetooth settings screen on changing language.
GENSIX-69899,[Media] The Focus position is not fixed in downmost after moving down quickly in the list.
GENSIX-69897,[Settings] : Flickering is Observed in Settings Search Keypad Screen on Selecting any option from Rear
GENSIX-69896,"[Voice Memo]:""Voice Memo delete popup is getting displayed in voice memo screen."""
GENSIX-69894,[Settings] Predefined messages are changing into previously selected language.
GENSIX-69893,[SXM] No focus is observed in channel list screen for the first time after reboot.
GENSIX-69891,[Settings]Dual focus is observed in the set time popup.
GENSIX-69890,"[Setup] No Focus is observed on ""Camera Settings"" screen after making IGN OFF->ON."
GENSIX-69889,[Keypad] Arabic Keypad is getting displayed when Default Keypad set Korean Keypad For China Region.
GENSIX-69886,"[Setup] ""Cannot input anymore"" popup is getting close upon pressing swrc ptt button."
GENSIX-69884,[Rear Display] : Radio Scanning OSD is getting Displayed in Radio Screen
GENSIX-69883,[DRM] : System is not Switching to Home Screen on Playing DRM in Rear Display
GENSIX-69870,[Radio] The Scanning is happening contionously & not getting released after changing the language from the rear display.
GENSIX-69864,[QIBLA] : Dual Focus is observed in QIBLA screen.
GENSIX-69861,[Navigation] Dual focus is observed in Plan tour screen.
GENSIX-69860,"[Media] The Status bar options are non-operational during changing the theme in ""Sound of nature""."
GENSIX-69858,[DRM] : Scan Operation is not taking place for the first time in DRM on Pressing Seek Up / Seek Down S/K
GENSIX-69856,[Settings] Text alignment issue is observed in Vehicle Settings screen
GENSIX-69851,[USM] Menu Options are getting selected on performing CCP touchpad button.
GENSIX-69850,[Setup]:CCP is not working on changing language.
GENSIX-69849,[Popup] : Flickering is observed on 'Date/Time' in Status Bar.
GENSIX-69848,[Manual] The Focus on the option menu is getting disappeared.
GENSIX-69847,[Voice memo] After changing language not able to enter in search screen
GENSIX-69846,[Settings] Flickering is Observed in Vehicle Settings Screen.
GENSIX-69844,[Settingsl]Text mismatch is observed in the vehicle settings screen.
GENSIX-69843,"[CCS] The option menu first depth is not getting closed on performing ""Swipe left""."
GENSIX-69842,"[Rear Display] The Status bar options are non-operational in ""Ambient light"" screen."
GENSIX-69840,[User profile] Driver 1 text Alignment is improper in user profile settings screen.
GENSIX-69839,[Settings] Empty radio button option is displayed in split screen options in Settings screen
GENSIX-69834,[CCS] Dual Focus is Observed in Connected Services Settings Keypad Screen After Performing RVC Off /On and Display Off/On.
GENSIX-69832,[Popup] Improper behaviour is observed in phone screen upon pressing ptt s/k while voice memo recording in background.
GENSIX-69831,[Settings]:String Value is displayed in the vehicle settings screen
GENSIX-69778,[Radio] : Sometimes Scanning is not happening when the Maximum Number of Presets are Saved
GENSIX-69776,"[Navigation]:""Previous destination is not getting deleted for the first time."""
GENSIX-69774,[Bluetooth]: Font size is not changing in favorites contact search screen.
GENSIX-69772,[Setup]: Focus is not appearing at the same option after closing the option Menu.
GENSIX-69770,"[Settings] : Delay is Observed in ""Feature Currently Unavailable"" OSD in System Volume Screen"
GENSIX-69769,[Keypad] Characters overlap is observed in Navigation Keypad screen.
GENSIX-69768,[Keypad] Search Icon is not displayed in Hand written input keypad screen
GENSIX-69767,[Settings] Text alignment issue is observed in Vehicle Settings screen
GENSIX-69766,"[Media] Continuous fast forward is happening for USB(video, music) in rear screen"
GENSIX-69764,[Keypad] keypad layout is not changing after tapping chinese keypad icon
GENSIX-69763,[Media]: Dual focus is observed in USB Video screen.
GENSIX-69761,[Voice Memo]:Slow Response is Observed On Time/Date Setting Screen On Voice Memo Recording State.
GENSIX-69759,"[Setting]:""Split Screen option is in enable state in setup search Screen."""
GENSIX-69755,"[Media] ""Sound of Nature"" OSD is not getting displayed in Rear screen"
GENSIX-69754,[Setting]:No Focus Observed On Time/Date Setting Screen.
GENSIX-69747,[Web Manual] Only one option is displayed in split screen option in web manual screen
GENSIX-69740,[Home] System is not transiting to Home screen on tapping home s/k.
GENSIX-69739,"[Bluetooth] The ""Mic Off"" OSD is getting closed before ""5 secs""."
GENSIX-69738,"[Navigation]:""Focus is getting disappeared in Navigation update information"""
GENSIX-69737,"[Menu] Inconsistent behavior is getting observed in Settings, Radio, Navigation Screens."
GENSIX-69736,[DMB] : Able to enter DMB 'Delete Channel list' screen at the same time for both Front and Rear Display.
GENSIX-69735,[USM]: Input field is taking more than specified characters after continuously inputting from CCP touch pad.
GENSIX-69734,[Setup] Smooth scrolling is not happening in Language setting screen.
GENSIX-69733,[Setup] Space is not provided between two text in General setting string
GENSIX-69731,"[Qibla]: "" Only first depth of the menu options are closing on tapping upon empty space of the screen"
GENSIX-69730,[USB Video] Slow response for playing the selected song on tune rotate
GENSIX-69728,"[Seat] Blank screen is displayed on selecting the options after ""Driving Restriction""."
GENSIX-69727,[Home] Screen is not navigating back to home
GENSIX-69723,[Settings] Text alignment issue is observed in Vehicle Settings screen.
GENSIX-69722,[Navigation] Blank screen is observed in navi search keypad
GENSIX-69720,[Settings]: Able to change the language on the language changing popup.
GENSIX-69715,[Phone]:HandWriting Gesture is Disappearing When Coming Back from Bluetooth Setting Screen.
GENSIX-69709,[Keypad]On tapping dot(.) character from the number keypad the cursor is shifting to left side.
GENSIX-69707,[Setup]:String Value is displayed in the vehicle settings screen
GENSIX-69706,[Popup] : Dual focus is observed in Climate screen.
GENSIX-69692,"[Profile] The System is not switching to the ""Saftey Warning"" screen after ""Profile Reset""."
GENSIX-69685,"[Carplay] Able to enter inside ""memory"" while in CP active call and ""Feature unavailable during call...""popup is not displayed after tapping on the Reset SK"
GENSIX-69679,[System] Delay is observed on performing RVC on/off for the second time.
GENSIX-69678,"[Bluetooth]:""System is entering in sound setting during BT Active call after performing battery off/on."""
GENSIX-69677,"[Keypad] Even on deleting the characters from input field, the characters are again displayed immediately in the input field."
GENSIX-69676,[Setup] Dual focus observed in general settings screen
GENSIX-69675,[Split screen] Text overlap is observed in split screen when font size set to extra large and language to French.
GENSIX-69674,"[Home] ""Language"" text is not displayed in ""English"" for ""Turkce"""
GENSIX-69673,[Settings]Focus and alignment issue is observed in the sound setting screen
GENSIX-69672,[Keypad] Blank Button is displayed in Navigation keypad Screen.
GENSIX-69671,[System] Focus is missing in Safety warning(Language setup) screen.
GENSIX-69669,[SXM] Scrolling is happening in background on rotating CCP wheel in skip channels screen.
GENSIX-69668,[Setup] No focus is observed on performing display off/on in search setup screen.
GENSIX-69667,[Setup] Guide text is overlapping with guide image in GPS information Screen.
GENSIX-69666,[Keypad] Alignment Issue is Observed in Navigation Keypad Screen.
GENSIX-69665,[OSD/Popup] Subscription status popup is not getting closed on performing RVC on/off.
GENSIX-69615,"[Settings] ""ENGLISH"" option is not displayed in English language when language is changed to Espanol"
GENSIX-69611,[Keypad] Focus is missing in rename keypad screen performing RVC ON OFF Operation
GENSIX-69602,"[Setting]:""Focus is getting disappeared in search setup screen."""
GENSIX-69598,[Setting]:System is not Switching to Time and Date Screen On Selecting Icon From Vehicle Setting Screen.
GENSIX-69595,[Settings] Selected option is unselected after making display OFF/ON
GENSIX-69594,[keypad] Characters are over-writing from the highlighted area in the navigation keypad screen
GENSIX-69591,[Keypad] Character Highlight is not displayed on Long Tapping Characters for 2nd time in Keypad Screen
GENSIX-69588,[Keypad] Focus is not getting moved to Countries' options through CCP.
GENSIX-69586,"[CCS] The option menu first depth is not getting closed on performing ""Swipe left""."
GENSIX-69583,"[Bluetooth] : Paired BT Device Name is not getting Displayed in ""Bluetooth Connection"" Popup"
GENSIX-69582,[Popup] : Phone Projection popup is getting displayed in VR screen.
GENSIX-69581,[User Profile]:Focus is moving background On Performing Display OFF/ON on Link Bluetooth Screen.
GENSIX-69575,[Voice Memo] : Sometimes Delay is Observed in the OSD on Performing Short Press Custom Button Set to Phone Projection
GENSIX-69573,[UserProfile]Unable to access the Menu SK for few seconds after pressing the SWRC Seek keys
GENSIX-69572,[Setup] Alert popup observed in CCS settings list screen
GENSIX-69570,[Setup]:Dual focus is observed in Seat Screen
GENSIX-69569,[Navigation] Focus is not proper in traffic > web manual screen
GENSIX-69568,[OSD/Popup]:Phone Projection Popup is Closing On Performing Display OFF/ON.
GENSIX-69566,[USB Music] Hide file popup is getting closed on performing display on/off->RVC on/off.
GENSIX-69565,[Home] Blank screen observed in front display
GENSIX-69564,"[Profile] : ""Reset"" Popup is not getting Displayed on Performing CCP Enter through Touchpad"
GENSIX-69563,[Popup] : Dual focus is observed in Sound of Nature screen .
GENSIX-69559,"[Menu]:""Inconsistant behavior is getting observed on performing RVC On/Off during display off."""
GENSIX-69556,"[Setting]:""Phone projection popup is getting closed for the first time on performing RVC On/Off."""
GENSIX-69548,[Popup] : 'Cannot input anymore' popup is getting closed on Pressing Custom button .
GENSIX-69530,[Voicememo] Statue bar buttons are non functional in setup screen during Voicememo recording state
GENSIX-69519,[Bluetooth]:System is entering into the BT Settings Screen from Front & Rear at the Same time.
GENSIX-69516,[Voicememo] Sometimes unable to record Voicememo
GENSIX-69513,"[Home] ""No Receivable Channels"" OSD is not getting displayed in Front Home screen"
GENSIX-69512,[Keypad] Scroll Bar is Disappearing on Performing CCP Rotate in Connected Services Settings Keypad Screen.
GENSIX-69506,[Radio] Option Menu is not closing on pressing Radio H/K
GENSIX-69505,[Radio] Scanning information is getting displayed in split screen even after changing the gear from R->P.
GENSIX-69481,[Setup]: Focus is not appearing at the same option after closing the option Menu.
GENSIX-69478,[Setup] Not able to tap on time icon through S/K
GENSIX-69477,"[OSD] ""Passenger talk ended"" OSD is not displayed upon start recording the voice memo."
GENSIX-69465,"[Profile] The Focus from status bar is not switching to the below options on pressing ""Dial to down"" (CCP)."
GENSIX-69464,[Setting]:Blank Screen is getting Displayed On Device Connection Setting When Entering From Phone Projection Popup.
GENSIX-69461,"[Keypad] ::"" Delete icon is not in correct place on selecting Korean keyboard second option(????)."""
GENSIX-69459,"[Settings] : ""Add New Device"" Popup is not getting closed on Pressing SWRC Mode Button or SWRC END Button"
GENSIX-69458,[Settings]OK button is not displayed in the keypad screen
GENSIX-69457,"[Navi] The System is not switching to ""Driving Restriciton"" screen during ""Drive"" state."
GENSIX-69456,[Setting]:Inconsistent behavior is Observed On Resetting the Position in Sound Setting Screen.
GENSIX-69455,[keypad] Special Characters are over-writing from the highlighted area.
GENSIX-69454,[Navigation] Input characters are not getting deleted upon Long Pressing Delete S/K in Navigation Keypad screen.
GENSIX-69451,"[Manual] The ""Handwriting Manual"" options are getting disappeared when returning from ""Driving Restriction"" screen."
GENSIX-69449,[Keypad] Capslock icon is able to access on tapping the nearby disabled character.
GENSIX-69446,"[Radio] ""Radio/Media off"" OSD display is delayed after performing PWR OFF from Radio screen"
GENSIX-69443,[Home]: Screen is not Performing for the respective action.
GENSIX-69441,[CCS] Dual Focus is Observed in Connected Services Settings Keypad Screen.
GENSIX-69440,[Voice Memo]:Slow Response is Observed On Button/Touch pad Screen On Voice Memo Recording State.
GENSIX-69439,"[Genesis] Blank screen is observed after tapping ""OK"" on genesis service not active popup"
GENSIX-69436,[CCS] Ok Button is disappearing upon tapping OK button.
GENSIX-69432,[Setting]:Focus is Disappearing on Performing Display OFF/ON On Camera Setting Screen.
GENSIX-69431,[Radio]:String Value is getting Displayed On Delete Preset Popup.
GENSIX-69378,"[Voice Memo]: ""System is getting hanged while coming back from storage information or web manual from voice memo in voice memo recording state. """
GENSIX-69373,[Radio] The Toast popup is getting closed on making Display OFF->ON.
GENSIX-69370,[Radio] Dual focus is observed in band popup screen.
GENSIX-69364,"[Setup]: ""Cannot input anymore"" popup is dissapearing on changing font size and display ON and OFF"
GENSIX-69362,"[Setup] Focus is not shifting to ""center"" option after pressing the CCP pushdial down HK"
GENSIX-69354,[Popup] : Blank screen is observed for few seconds in User profile screen.
GENSIX-69353,[Radio] Delay is observed for displaying scanning osd upon making display off
GENSIX-69352,[Settings]'Adjusting volume levels in front seat' OSD is not displaying upon control volume bar.
GENSIX-69346,"[Map]: ""Flickering is observed in Previous destination delete screen . """
GENSIX-69342,[Bluetooth] Screen is not navigating back to the phone screen after tapping back s/k for the first time
GENSIX-69333,[Popup] : 'Cannot input anymore' popup is getting closed on making Display off /on in Phone screen .
GENSIX-69329,[Bluetooth]: Focus getting disappears on clicking the menu button in CCP jog.
GENSIX-69325,"[Settings]Upon performing basic operations of CCP,Tapping on search icon no action is performed"
GENSIX-69323,"[Navi] The option menu first depth is not getting closed on performing ""Swipe left""."
GENSIX-69301,[Popup] : Delete popup is getting closed on Pressing Custom button .
GENSIX-69299,[Voice memo]: Search screen is not displayed on tapping the search icon in voice memo screen..
GENSIX-69298,"[Bluetooth]: ""Entered arabic character is getting deleted when entering new characters . """
GENSIX-69295,"[Bluetooth] The Popup is not getting closed in ""Driving Restriction"" screen."
GENSIX-69293,[Settings] Spliscreen is getting changed on making Display OFF> ON
GENSIX-69292,[Keypad] Keyboard is not changed to korean in navigation
GENSIX-69290,[OSD] : Slow response is observed in DMB screen.
GENSIX-69289,[Navi] No focus is observed on the option menu in keypad screen.
GENSIX-69288,[Setup]: Focus is not observed in Activate Connected Services Screen.
GENSIX-69287,"[Voice memo] During voice memo recording able to enter in ""sound setup"" in Rear screen"
GENSIX-69286,[Sound of nature] Volume bar text is not proper in split screen for sound of nature.
GENSIX-69285,[Settings] Focus is not shifted to the corresponding option.
GENSIX-69284,"[Bluetooth] The Option Menu is getting closed in ""Driving Restriction"" screen."
GENSIX-69282,[System] Menu and Home buttons are non functional after presssing SWRC seek up/down
GENSIX-69280,[Navigation] Dual Focus is observed in Navigation Address Book Screen.
GENSIX-69277,[Map] Disabled Menu options are opening after pressing the RRC Menu HK
GENSIX-69275,[Navigation] Flickering is Observed in Navigation Keypad Screen.
GENSIX-69274,"[Bluetooth] The ""Back"" & ""Menu"" H/K's are non-operational in the ""BT keypad"" screen."
GENSIX-69273,[UserProfile] Cannot input anymore popup is closing on pressing Custom H/K on First run setup screen
GENSIX-69271,[Bluetooth] Unable to change the alignment in keypad screen.
GENSIX-69269,[Keypad]Entered input special characters taking two times in keypad screen.
GENSIX-69267,"[Popup]'Cannot input anymore'popup is closing upon pressing swrc seek up,seek down and mode h/k."
GENSIX-69264,[Keypad] Focus is disappearing in Navigation Keypad screen on Pressing RRC Push Dial[Right]
GENSIX-69214,[Keypad] Inconsistance behaviour observed in input search keypad
GENSIX-69210,"[Navigation]: ""Focus is shifting from menu on performing display off."""
GENSIX-69209,"[Bluetooth] ""Bluetooth Audio Unavailable"" popup is not getting closed after ending the BT call"
GENSIX-69207,[Keypad] Input field characters are deleting continuosly after hold and removing the finger from delete SK
GENSIX-69204,"[Qibla]: "" Menu is not Closing through touch in Qibla""."
GENSIX-69201,[Keypad]: Blank screen is observed on Keyboard settings screen.
GENSIX-69197,[Menu] : Focus is available on Option menu in Camera Settings screen while changing the language .
GENSIX-69195,[Bluetooth] BT incoming call popup is closing after getting the max character limit reached popup
GENSIX-69193,[Popup] : 'Changing language' popup is not getting displayed in Camera Settings screen .
GENSIX-69192,"[USB Video] ""Repeat sub folder"" toggle button is not displayed on USB video list screen"
GENSIX-69189,[Radio] Smooth scrolling is not happening in FM delete preset screen.
GENSIX-69174,[Split screen] Screen transition is not proper in split screen upon accessing map.
GENSIX-69170,[Settings] Display is not getting turn OFF after pressing custom key
GENSIX-69166,[Qibla] Menu is not opening through touch after Closing Menu with CCP Push Dial [up].
GENSIX-69161,"[Home] Alert popup is not coming after tapping ""Data management "" option in Connected services settings"
GENSIX-69146,[HD Radio] Text overflow is observed in radio options when the language is set to french.
GENSIX-69138,[OSD] Sometimes Delay is observed for displaying osd upon pressing media H/K's while Voice memo is in recording state.
GENSIX-69136,[RVC] Media volume is not retained back to previous volume after coming back from RVC
GENSIX-69134,[HD Radio Data] Focus is disappearing in fuel prices screen.
GENSIX-69132,[Keypad] Alignment Issue is Observed in Setup search keypad screen.
GENSIX-69129,"[EU radio]According to spec,Scan option is not disabled."
GENSIX-69128,[Navigation]: Blank split screen is displayed on changing the language in navigation screen.
GENSIX-69127,"[CCS] Dual focus is observed on the ""Maintenance"" screen."
GENSIX-69126,[QIBLA] Dual Focus is observed in QIBLA screen.
GENSIX-69124,"[Bluetooth]: ""Able to enter in sound setting during BT Active call ."""
GENSIX-69123,[RVC] Slowness observed clicking on time in RVC setup screen
GENSIX-69121,"[Keypad] After changing the language to Hindi,'ok' button is not getting changed as per the language in Vehicle name screen."
GENSIX-69120,[Setup]: Dual focus is observed in camera settings screen upon RVC ON and OFF.
GENSIX-69119,"[System] The Option Menu is getting opened on performing Press & Hold ""Menu"" H/K (CCP)."
GENSIX-69110,[Settings] Option menu is not opening on pressing Menu H/K
GENSIX-69106,"[Radio] ""Refresh Complete."" toast popup is not getting closed after screen transistion."
GENSIX-69104,"[Split Screen] : ""Blank screen is getting displayed in split screen for all modules."""
GENSIX-69103,[System] Screen is not transiting to previous screen ontapping back S/K
GENSIX-69102,[Settings]Overlap is observed in the system reset popup.
GENSIX-69099,[Navigation]: Able to scroll the options on the BT incoming call popup.
GENSIX-69098,"[Keypad] : ""Alignment is not proper in setup search keypad ."""
GENSIX-69097,[Setting]:Camera Setting Screen is not going to Home Screen On Tapping Home S/K.
GENSIX-69096,"[Bluetooth] Dual focus is obsereved on the ""BT Delete Device"" screen."
GENSIX-69095,"[Radio] Focus on the options is getting disappeared in ""Delete Presets"" screen."
GENSIX-69050,[Setup] Screen is navigate back to settings list after making display OFF/ON
GENSIX-69044,[OSD/Popup]:Video Manual Popup is Closing On Performing Display OFF/ON.
GENSIX-69042,[Settings]:Inconsistant behaviour is observed in wifi settings screen upon RVC ON and OFF.
GENSIX-69039,[Settings] Focus is not switching back to the previously selected option in Keyboard Settings screen.
GENSIX-69038,[Bluetooth]:Able to Enter into Bluetooth Setting Screen When Call is on Hold State.
GENSIX-69036,[Setup] Calender option is displayed for some split screen options.
GENSIX-69034,[Bluetooth]:'This Feature is unavailable when Call is on Hold' Popup is not getting Displayed on Tapping Bluetooth Setting Options.
GENSIX-69031,[User Profile] Activating Network progress screen is getting displayed in rear after making RVC ON OFF Operation
GENSIX-69030,[SVM] Inconsistance behaviour is observed while turn on the rear camera
GENSIX-69026,[keypad] Characters are over-writing from the highlighted area.
GENSIX-69025,[Keypad]: Focus is not observed in Data/Network settings screen.
GENSIX-69024,[Split screen] Voice memo icon is flickering in split screen while starting the recording.
GENSIX-69023,"[Climate] Focus is disappearing after pressing the CCP pushdial in ""Rear climate control"" screen"
GENSIX-69022,[Voicememo] Reseting popup is not closing on performing basic operations
GENSIX-69020,[Popup] : 'Cannot input anymore' popup is getting close on making RVC off/on.
GENSIX-69018,[Voicememo]: Save to USB device screen is displayed even though the USB Device is not connected.
GENSIX-69016,[Setup] Inconsistance behaviour observed in general settings
GENSIX-69011,[System] Able to access Profile & BT settings screen during SOS call.
GENSIX-69008,[Setting]First Run settings popup is getting closed on pressing PWR L button from Rear RRC
GENSIX-69000,"[Map]""Paused the guidance""Toast popup is closing upon RVC on and off"
GENSIX-68998,[Voice memo] Storage memory full popup is getting closed After Display OFF>ON
GENSIX-68997,"[Setup] : ""Enable Android Auto popup is getting closed on pressing PTT during Voice Memo Recording state."""
GENSIX-68995,[Navi] The Focus on the option menu is getting changed on making Display OFF->ON.
GENSIX-68994,[Setup] Font size is not changing upon changing any of the font size options
GENSIX-68992,[Setting]:Able to Enter into Sound Setting Screen On BT Active Call State.
GENSIX-68991,[Setup]: Options are overlapping on rotating the ccp jog in Reorder setup screen.
GENSIX-68990,[Setup] CCP Dial is not working after Reordering the options in Button/Touch Pad settings
GENSIX-68989,"[User Profile] Sometime not able to select ""Link"" button"
GENSIX-68987,[Passenger Talk] Font size is not changing in split scren for passenger talk
GENSIX-68983,[Bluetooth] Focus is not retained on selected Option in Text Message Screen.
GENSIX-68981,[Keypad]: Text overlapping is observed on rotating the CCP jog in search keypad screen.
GENSIX-68980,"[Settings] : Sometimes , Settings Reorder Screen gets hanged for some Seconds on Performing Reorder"
GENSIX-68979,[Setup] Improper behaviour is observed in general settings screen upon making display off/on.
GENSIX-68978,[Map] Flickering is observed on the Home app(Map icon) screen after performing the display on -> off
GENSIX-68975,"[Setting]After changing language to English, Kakao voice destination popup is not closed"
GENSIX-68974,[settings]KaKao GCS Activation popup doesnot display on Android auto connection popup while pressing custom H/K set to KaKoa voice dest
GENSIX-68969,[Keypad]:Dual focus is observed in Data/Network settings screen.
GENSIX-68968,[Keypad]: Able to perform any operation on the popup in search keypad screen.
GENSIX-68965,[Keypad]OK button is not displayed in special character keypad in Save keyboard screen.
GENSIX-68964,[OSD/Popup]:Incoming Call Popup is getting Displayed On Message Screen.
GENSIX-68879,[Bluetooth] The Focus on the popup is getting changed on making Display OFF->ON.
GENSIX-68878,"[Voice Memo] : ""Storage full popup is getting flickered on pressing Custom button."""
GENSIX-68877,"[System] Inconsistant behaviour observed for delete popup on DMB , Radio and Voice memo screen"
GENSIX-68876,[Setting]Popup is closing on pressing Custom button set to KaKao Voice Dest from SWRC
GENSIX-68875,[Setting]:Phone Projection Popup is not getting Displayed On Camera Setting Screen.
GENSIX-68874,"[VR]""Unavailable in Current language popup"" is getting closed on pressing PTT H/K from SWRC"
GENSIX-68873,"[Voice Memo] ""Voice Memo saved"" OSD is getting displayed on making ACC ON->OFF."
GENSIX-68872,[RVC]:Focus is not Shifting to Split Screen through CCP H/K.
GENSIX-68871,[Settings]Reset Toast popup is closing upon RVC on and off
GENSIX-68869,[Bluetooth] Flickering is observed in BT Audio list screen and for scroll bar.
GENSIX-68867,[Map]After setting the destination from Navigation screen ->Calculating Process Bar gets hanged along with screen and processing stops
GENSIX-68866,[CCS] The Reset popup is getting closed on making RVC ON->OFF.
GENSIX-68863,[DMB] : Blank screen is getting displayed in DMB screen.
GENSIX-68862,[HD Radio Data] Option menu is not getting closed on tapping update option.
GENSIX-68861,[Bluetooth] Option menu is closing on making Display OFF>ON
GENSIX-68860,[HD Radio] No focus is observed on performing refresh in the station list screen.
GENSIX-68859,[OSD/Popup]:'Cannot Input Anymore' Popup is getting Closed On Pressing Custom key When Custom key Set to Phone Projection.
GENSIX-68858,"[Navigation] : ""VR Icon is getting displayed in Rear display""."
GENSIX-68856,[Setup]: Focus is not present in search setup screen on changing the language in rear screen.
GENSIX-68854,"[Radio]:The Front & Rear Display's are entering into the ""Radio Delete Presets"" screen at the same time."
GENSIX-68853,[Settings] : Option Menu is getting Closed on Performing Display Off and On
GENSIX-68840,[USB Video] Some time Volume card is flickering on performing AV OFF operation in RVC screen
GENSIX-68833,[DMB]On tapping Full screen S/K -> DMB full screen mode is not displayed
GENSIX-68830,[Popup] : Hide popup is getting close on making Display off / on.
GENSIX-68828,[Bluetooth] unable to input phone numbers in Phone screen dial pad
GENSIX-68825,"[Voice Memo] The ""File Saved."" toast popup is not getting displayed on ending the voice memo recording."
GENSIX-68824,"[Rear Display] : Menu options are closing after performing the display on->Off from ""weather"" screen"
GENSIX-68822,[Setup][Vehicle] String value is observed in parking safety
GENSIX-68821,"[Voice Memo] : ""Storage full popup is getting closed on performing display Off/On."""
GENSIX-68813,[Usb Video] Sometime USB Video is not visible in Split screen
GENSIX-68807,[Keypad] Upon Tapping Shift S/K changes is not applying for Latin Keyboard screen
GENSIX-68806,[Setup] The Focus is getting disappeared during reordering the options in the list.
GENSIX-68804,[setup] Focus is disappearing after pressing the CCP pushdial Down HK in fuel price info screen
GENSIX-68802,[Climate]: Font size is not changing in Climate screen.
GENSIX-68801,[Setup]: Beep option is not displayed under sub system volume in sound settings screen.
GENSIX-68796,[Manual] Dual focus observed in manual screen
GENSIX-68794,[Valet Mode] The entered numbers are getting disappeared in Valet mode keypad screen.
GENSIX-68793,"[Setup] ""Normal"" and ""Export"" Options are not able to select in Voice recognition settings screen."
GENSIX-68790,[Popup] : 'Unavailable in current language ' popup is getting closed on making RVC on -> off.
GENSIX-68789,"[AnalogRadio]: Font size is not getting changed in ""Unavailable in the Current language"" popup"
GENSIX-68786,[Media]:Inconsistent behavior Observed During Incoming Call.
GENSIX-68785,"[Settings] ""Feature unavailable while Recording "" popup is getting closed on ending Voice memo"
GENSIX-68782,[Manual]Text mismatch is observed in the manual screen.
GENSIX-68781,"[CCS] ""Cannot input anymore"" popup is getting closed on making RVC ON->OFF."
GENSIX-68775,[Radio] : Scan Behavior in Radio is not Proper on Switching the User Profile
GENSIX-68774,[Setup][Vehicle] String value is observed in convenience screen
GENSIX-68772,[Data/Network] Option menu is getting closed on performing display off->on.
GENSIX-68771,[keypad] Characters are over-writing from the highlighted area.
GENSIX-68770,[Setup] The Popup is not getting closed on making IGN OFF.
GENSIX-68769,[Setup][Vehicle] String value is observed in cluster settings screen
